Index, CenterX, CenterY, CenterZ, NormalX, NormalY, NormalZ, RMS, Horiz_ext, Vert_ext, Surf_ext, Surface, Dip dir., Dip
2010,949.959,819.307,895.916,0.546156,-0.61204,-0.571944,0.021214,0.266187,0.208715,0.0555572,0.0307668,318,55
2009,946.841,811.862,895.083,-0.0409335,-0.847066,0.529908,0.0179215,0.193938,0.377173,0.073148,0.0652083,182,58
2007,950.754,816.879,893.245,-0.69104,0.536814,-0.48404,0.0170011,0.421237,0.521814,0.219807,0.109449,127,61
2005,950.143,815.929,893.564,0.399073,-0.878226,0.263554,0.0157846,0.237998,0.328329,0.0781418,0.0452071,155,74
2003,952.527,820.246,894.615,0.675624,-0.496194,-0.545273,0.0174565,0.64398,0.440915,0.28394,0.149718,306,56
2000,948.43,813.978,895.228,0.161246,-0.928673,-0.334015,0.0233453,0.515951,0.696745,0.359486,0.154982,350,70
1991,944.059,809.567,895.34,-0.550742,0.439299,-0.709718,0.0343165,2.92312,1.93863,5.66685,2.07587,128,44
1990,945.708,811.185,896.11,-0.48726,0.563212,-0.667361,0.0208475,0.874445,0.80279,0.701996,0.446527,139,48
1989,941.432,807.88,897.462,0.114715,-0.985696,-0.123464,0.0159972,0.379809,0.372966,0.141656,0.0860553,353,82
1988,952.82,820.669,894.263,-0.796353,-0.00583076,-0.604804,0.021303,0.997512,0.750024,0.748158,0.447499,89,52
1987,946.118,811.247,895.525,-0.753896,0.57103,0.324911,0.0085985,0.370459,0.174431,0.0646194,0.058039,307,71
1984,949.636,815.115,893.313,-0.680589,0.621982,-0.387218,0.0231734,1.05612,0.708328,0.74808,0.324681,132,67
1983,941.7,808.954,895.266,0.353177,-0.66383,-0.659238,0.0206727,0.180362,0.283463,0.0511258,0.0285552,331,48
1980,939.608,806.704,896.231,0.285177,-0.794398,-0.536289,0.01362,0.292204,0.33709,0.098499,0.0608917,340,57
1979,952.865,823.346,896.064,0.72482,-0.516478,-0.455945,0.0330982,2.05599,2.04363,4.2017,1.9458,305,62
1978,948.477,813.87,894.525,-0.586696,0.664111,-0.463404,0.0259416,1.19713,1.18126,1.41412,0.674816,138,62
1974,936.916,806.918,894.345,0.727891,-0.528782,-0.436537,0.0373468,1.65308,1.59493,2.63654,1.35567,305,64
1973,948.838,813.866,893.456,0.707438,-0.467011,-0.530501,0.0185043,0.655471,0.233646,0.153148,0.097114,303,57
1972,940.532,809.01,893.286,0.0220695,-0.860635,0.508744,0.0153884,0.547798,0.802477,0.439595,0.265801,178,59
1971,951.619,821.043,897.065,-0.844788,0.492574,-0.209055,0.0332059,1.62595,0.685109,1.11395,0.674443,120,77
1970,947.14,811.726,894.47,0.681967,-0.638902,-0.355985,0.011895,0.589958,0.433161,0.255547,0.127008,313,69
1966,952.68,820.308,893.185,-0.859861,-0.508271,0.0479634,0.0181114,0.301382,0.354777,0.106923,0.0788634,239,87
1964,938.023,806.266,897.139,0.207011,-0.968917,0.135449,0.0351374,2.29133,1.5556,3.56439,1.07383,167,82
1962,949.076,814.48,895.787,-0.88312,0.125649,-0.452008,0.0112094,0.385488,0.437943,0.168822,0.104016,98,63
1961,943.629,808.523,893.985,0.560639,-0.802743,-0.203194,0.00761576,0.19913,0.128919,0.0256717,0.0237525,325,78
1958,947.276,811.82,893.266,-0.567109,0.484536,-0.666043,0.0128863,0.241182,0.147373,0.0355437,0.0216707,130,48
1957,944.161,808.713,893.213,-0.509708,0.829253,-0.22921,0.0200066,0.663055,0.302298,0.20044,0.100174,148,76
2042,948.525,813.346,893.391,-0.800447,0.553841,-0.229226,0.0325909,1.01629,0.88728,0.90173,0.387913,124,76
1954,944.229,810.2,897.643,-0.773216,0.322291,-0.546137,0.0284949,1.05962,0.783695,0.83042,0.419505,112,56
1953,943.104,809.112,897.147,-0.999961,-0.00164339,-0.0086544,0.029404,0.455145,0.673548,0.306562,0.13448,89,89
1951,943.804,808.624,893.477,0.170953,-0.92591,-0.336846,0.0118711,0.178333,0.146492,0.0261243,0.0236499,349,70
1950,949.995,815.803,893.71,0.711429,-0.503627,-0.490131,0.0117719,0.343081,0.29301,0.100526,0.0732506,305,60
1948,948.489,813.458,893.737,-0.889282,0.275628,-0.364975,0.0183686,0.339826,0.568045,0.193036,0.102884,107,68
1946,948.838,813.882,893.811,0.256297,-0.932446,0.254669,0.0226156,0.166516,0.313691,0.0522346,0.0399907,164,75
1942,946.945,811.426,894.253,-0.567921,0.565363,-0.59819,0.0112472,0.436656,0.349956,0.152811,0.0947849,134,53
1941,944.551,809.055,893.567,0.689865,-0.471304,-0.549508,0.0110723,0.770455,0.322191,0.248234,0.163126,304,56
1940,951.173,818.704,894.271,-0.593181,0.601029,-0.53563,0.0333328,1.23424,1.39474,1.72145,1.01167,135,57
1938,947.164,813.707,897.497,0.664205,-0.476021,-0.576399,0.0135436,2.30483,1.16923,2.69488,0.895031,305,54
1937,943.266,809.493,897.729,-0.640985,0.747892,-0.172612,0.0209686,0.374296,0.514936,0.192738,0.123589,139,80
1960,947.613,813.064,895.341,0.349344,-0.87896,0.324635,0.00979236,0.389687,0.232975,0.0907873,0.0463755,158,71
1936,952.348,820.05,894.889,0.173447,-0.984534,0.024661,0.0232254,0.680487,0.567251,0.386007,0.185647,170,88
1935,945.902,810.325,893.902,-0.0494686,-0.996417,0.068596,0.0176807,0.334157,0.395342,0.132106,0.0821478,182,86
1933,952.729,820.422,894.722,-0.725139,0.231713,0.648446,0.0148079,0.199061,0.163997,0.0326454,0.02708,287,49
1931,952.648,824.036,895.135,0.666488,-0.471432,-0.577534,0.00751306,0.413709,0.736373,0.304644,0.1769,305,54
1930,948.999,814.611,895.466,-0.569842,-0.243864,0.784736,0.014914,0.35458,0.190741,0.0676329,0.0525657,246,38
1927,948.45,813.646,895.567,-0.808362,0.556575,-0.191767,0.0129904,0.196266,0.235012,0.0461248,0.0356963,124,78
1926,946.017,811.955,896.398,0.628991,-0.483657,-0.608643,0.0151808,3.94834,0.696262,2.74908,1.14892,307,52
1920,951.089,817.486,893.609,-0.995678,-0.0928169,-0.00323521,0.00933067,0.152271,0.16211,0.0246847,0.0196473,84,89
1919,950.375,816.783,894.599,-0.795658,0.222998,-0.563206,0.0208092,1.26161,0.511193,0.644928,0.303821,105,55
1916,946.87,811.581,894.671,-0.820947,0.563896,-0.0898227,0.0151343,0.181161,0.107734,0.0195172,0.0161302,124,84
1915,948.439,814.076,894.976,0.438986,-0.887259,0.141646,0.0115006,0.143916,0.233804,0.0336481,0.0297848,153,81
1913,952.445,820.189,894.297,-0.622893,0.610826,-0.48877,0.0213222,0.538061,0.56413,0.303537,0.146847,134,60
1912,950.727,816.625,893.093,-0.451856,0.818531,-0.354731,0.0112621,0.160073,0.268647,0.0430031,0.0223218,151,69
1911,947.122,811.553,893.181,-0.715208,0.644202,-0.271075,0.0196046,0.502455,0.408997,0.205503,0.0969252,132,74
1905,949.504,818.019,895.675,-0.537423,0.380112,-0.752789,0.025863,1.81119,1.26329,2.28805,0.864937,125,41
